location_id,observation_datetime,observation_timezone,airtemp_degF,windspeed_avg_mph,winddgust_mph,rhavg_percent,precip_in
MITC,2018-01-01 00:00:00,EST,4.82,2.9081,3.02442,73.6,0
MITC,2018-01-01 01:00:00,EST,3.56,2.6844,3.1139,73,0
MITC,2018-01-01 02:00:00,EST,2.66,2.9081,2.8052,73.2,0
MITC,2018-01-01 03:00:00,EST,1.76,2.6844,3.28839,73,0
MITC,2018-01-01 04:00:00,EST,-0.0399986,2.4607,2.14752,72,0
MITC,2018-01-01 05:00:00,EST,-0.760001,1.7896,1.62183,70.8,0
MITC,2018-01-01 06:00:00,EST,-2.38,1.5659,2.19226,67.7,0
MITC,2018-01-01 07:00:00,EST,-1.84,1.5659,1.31536,67.6,0
MITC,2018-01-01 08:00:00,EST,-2.92,1.3422,1.62183,65.8,0
MITC,2018-01-01 09:00:00,EST,-3.64,2.237,2.71796,67,0
MITC,2018-01-01 10:00:00,EST,-1.84,2.9081,2.71796,67.5,0
MITC,2018-01-01 11:00:00,EST,1.4,2.237,2.93718,67.4,0
MITC,2018-01-01 12:00:00,EST,3.2,2.6844,4.25254,68.6,0
MITC,2018-01-01 13:00:00,EST,3.02,3.5792,4.38452,69,0
MITC,2018-01-01 14:00:00,EST,1.22,4.2503,5.12944,68.9,0
MITC,2018-01-01 15:00:00,EST,2.66,4.9214,5.74462,70.1,0
MITC,2018-01-01 16:00:00,EST,-0.580001,4.6977,5.12944,71.4,0
MITC,2018-01-01 17:00:00,EST,-2.74,13.1983,15.1266,73,0
MITC,2018-01-01 18:00:00,EST,-4.54,15.659,20.3343,73.2,0
MITC,2018-01-01 19:00:00,EST,-5.44,16.3301,17.9855,75.2,0
MITC,2018-01-01 20:00:00,EST,-5.26,16.7775,19.0816,76.2,0
MITC,2018-01-01 21:00:00,EST,-4.72,16.7775,20.2896,75.2,0
MITC,2018-01-01 22:00:00,EST,-4.18,16.1064,25.7479,74.4,0
MITC,2018-01-01 23:00:00,EST,-2.92,18.1197,26.7545,72.1,0
MITC,2018-01-02 00:00:00,EST,-1.66,19.2382,21.2739,70.6,0
MITC,2018-01-02 01:00:00,EST,-2.74,18.1197,24.8531,71.7,0
MITC,2018-01-02 02:00:00,EST,-1.12,19.0145,21.3857,71.9,0
MITC,2018-01-02 03:00:00,EST,-0.219999,18.1197,16.6612,69.8,0
MITC,2018-01-02 04:00:00,EST,2.84,16.5538,22.0568,61.3,0
MITC,2018-01-02 05:00:00,EST,5,15.2116,16.6612,50.6,0
MITC,2018-01-02 06:00:00,EST,8.78,13.422,18.9026,32.9,0
MITC,2018-01-02 07:00:00,EST,11.12,13.6457,12.7151,31.1,0
MITC,2018-01-02 08:00:00,EST,10.94,6.2636,1.79855,27.7,0
MITC,2018-01-02 09:00:00,EST,14.54,2.6844,5.83186,25.4,0
MITC,2018-01-02 10:00:00,EST,15.26,4.474,5.74462,26.4,0
MITC,2018-01-02 11:00:00,EST,17.78,1.1185,0,29.9,0.02
MITC,2018-01-02 12:00:00,EST,18.68,1.1185,1.27062,34.6,0
MITC,2018-01-02 13:00:00,EST,15.44,3.8029,7.67291,44.8,0
MITC,2018-01-02 14:00:00,EST,16.7,6.0399,6.40229,47.6,0
MITC,2018-01-02 15:00:00,EST,17.42,5.5925,6.92799,45.4,0
MITC,2018-01-02 16:00:00,EST,17.78,4.6977,6.79601,41.8,0
MITC,2018-01-02 17:00:00,EST,15.08,6.9347,9.33948,45.4,0
MITC,2018-01-02 18:00:00,EST,10.22,11.185,14.6881,49.5,0
MITC,2018-01-02 19:00:00,EST,10.4,14.7642,16.178,40.9,0
MITC,2018-01-02 20:00:00,EST,10.76,12.5272,14.1177,31.9,0
MITC,2018-01-02 21:00:00,EST,13.1,8.5006,7.8474,40.1,0
MITC,2018-01-02 22:00:00,EST,19.58,2.9081,5.48065,14.3,0
MITC,2018-01-02 23:00:00,EST,17.78,5.5925,6.31281,10.2,0
MITC,2018-01-03 00:00:00,EST,17.78,3.5792,2.67545,11,0
MITC,2018-01-03 01:00:00,EST,17.42,2.9081,4.03331,11.9,0
MITC,2018-01-03 02:00:00,EST,17.78,4.2503,7.97938,14,0
MITC,2018-01-03 03:00:00,EST,18.32,7.3821,12.6704,15.7,0
MITC,2018-01-03 04:00:00,EST,18.68,8.948,13.0663,14.5,0
MITC,2018-01-03 05:00:00,EST,16.34,10.5139,15.3011,14.9,0
MITC,2018-01-03 06:00:00,EST,14.18,13.6457,17.2316,17.6,0
MITC,2018-01-03 07:00:00,EST,14.9,13.422,13.9857,21.7,0
MITC,2018-01-03 08:00:00,EST,15.08,12.5272,14.9074,21,0
MITC,2018-01-03 09:00:00,EST,15.62,13.6457,13.4175,22.8,0
MITC,2018-01-03 10:00:00,EST,16.52,10.0665,10.6101,23.1,0
MITC,2018-01-03 11:00:00,EST,17.78,11.4087,15.1266,22.9,0
MITC,2018-01-03 12:00:00,EST,16.7,9.8428,12.0574,23.8,0
MITC,2018-01-03 13:00:00,EST,16.34,10.0665,10.4781,26.4,0
MITC,2018-01-03 14:00:00,EST,17.24,9.3954,12.3639,24,0
MITC,2018-01-03 15:00:00,EST,19.4,8.0532,7.80489,23.7,0
MITC,2018-01-03 16:00:00,EST,18.32,9.1717,13.8112,30.4,0
MITC,2018-01-03 17:00:00,EST,15.62,12.5272,20.7817,36.5,0
MITC,2018-01-03 18:00:00,EST,12.02,13.8694,22.5713,48.2,0
MITC,2018-01-03 19:00:00,EST,10.4,22.5937,30.0429,65.4,0
MITC,2018-01-03 20:00:00,EST,8.6,27.2914,29.3718,56.5,0
MITC,2018-01-03 21:00:00,EST,10.04,26.3966,23.1977,35.3,0
MITC,2018-01-03 22:00:00,EST,7.16,22.5937,29.5955,51.1,0
MITC,2018-01-03 23:00:00,EST,6.08,30.8706,43.711,59.5,0
MITC,2018-01-04 00:00:00,EST,4.82,34.6735,43.2859,61.1,0
MITC,2018-01-04 01:00:00,EST,4.28,36.6868,40.5568,69.5,0
MITC,2018-01-04 02:00:00,EST,3.74,34.4498,36.575,76.9,0
MITC,2018-01-04 03:00:00,EST,3.2,32.4365,36.821,81.6,0
MITC,2018-01-04 04:00:00,EST,2.3,31.7654,35.613,80.7,0
MITC,2018-01-04 05:00:00,EST,1.22,31.318,43.107,80.2,0
MITC,2018-01-04 06:00:00,EST,1.04,38.2527,52.0103,79.5,0
MITC,2018-01-04 07:00:00,EST,0.319999,40.7134,44.3821,79.3,0
MITC,2018-01-04 08:00:00,EST,-1.12,38.9238,47.581,79,0
MITC,2018-01-04 09:00:00,EST,-1.12,40.9371,41.4292,78.5,0
MITC,2018-01-04 10:00:00,EST,-1.84,39.1475,50.6009,78.3,0
MITC,2018-01-04 11:00:00,EST,-1.48,38.9238,47.6928,78.3,0
MITC,2018-01-04 12:00:00,EST,-0.760001,36.9105,44.5387,78.4,0
MITC,2018-01-04 13:00:00,EST,-0.580001,30.4232,35.3446,78.5,0
MITC,2018-01-04 14:00:00,EST,-1.48,31.9891,41.5187,78.1,0
MITC,2018-01-04 15:00:00,EST,-1.3,36.4631,37.4026,78.2,0
MITC,2018-01-04 16:00:00,EST,-2.2,34.0024,40.691,78.2,0
MITC,2018-01-04 17:00:00,EST,-3.1,32.6602,39.7739,78,0
MITC,2018-01-04 18:00:00,EST,-4,31.5417,40.2436,77.8,0
MITC,2018-01-04 19:00:00,EST,-4.54,33.3313,44.5387,77.6,0
MITC,2018-01-04 20:00:00,EST,-5.08,34.8972,37.0447,77.4,0
MITC,2018-01-04 21:00:00,EST,-5.44,39.1475,41.7424,77.3,0
MITC,2018-01-04 22:00:00,EST,-5.8,40.9371,41.6529,77.2,0
MITC,2018-01-04 23:00:00,EST,-5.44,44.9637,49.0574,77.4,0
MITC,2018-01-05 00:00:00,EST,-5.08,43.1741,49.818,77.4,0
MITC,2018-01-05 01:00:00,EST,-4.18,44.2926,49.818,77.7,0
MITC,2018-01-05 02:00:00,EST,-4.54,44.5163,49.5943,77.6,0
MITC,2018-01-05 03:00:00,EST,-4.9,42.0556,47.0888,77.5,0
MITC,2018-01-05 04:00:00,EST,-5.08,39.8186,44.6282,77.4,0
MITC,2018-01-05 05:00:00,EST,-5.8,36.2394,40.2436,77.1,0
MITC,2018-01-05 06:00:00,EST,-5.8,37.1342,42.7043,77.3,0
MITC,2018-01-05 07:00:00,EST,-5.44,35.3446,42.6596,77,0
MITC,2018-01-05 08:00:00,EST,-5.62,33.3313,36.7315,76.2,0
MITC,2018-01-05 09:00:00,EST,-2.92,33.1076,39.6844,74.8,0
MITC,2018-01-05 10:00:00,EST,-0.580001,32.4365,33.4431,73,0
MITC,2018-01-05 11:00:00,EST,1.22,28.1862,32.0115,72.1,0
MITC,2018-01-05 12:00:00,EST,3.92,26.6203,29.1481,73.9,0
MITC,2018-01-05 13:00:00,EST,3.74,25.0544,27.3585,72.6,0
MITC,2018-01-05 14:00:00,EST,5.72,26.6203,30.2442,67.8,0
MITC,2018-01-05 15:00:00,EST,7.52,24.3833,28.3652,60.6,0
MITC,2018-01-05 16:00:00,EST,3.92,24.3833,28.3652,55.7,0
MITC,2018-01-05 17:00:00,EST,1.4,25.2781,29.7745,54.5,0
MITC,2018-01-05 18:00:00,EST,0.319999,27.9625,32.347,58.3,0
MITC,2018-01-05 19:00:00,EST,-0.760001,27.7388,32.7944,63.4,0
MITC,2018-01-05 20:00:00,EST,-0.760001,27.9625,40.6463,62.7,0
MITC,2018-01-05 21:00:00,EST,0.139999,33.1076,37.8053,67.9,0
MITC,2018-01-05 22:00:00,EST,-0.580001,32.8839,37.9619,74,0
MITC,2018-01-05 23:00:00,EST,-1.12,32.6602,37.4474,77.4,0
MITC,2018-01-06 00:00:00,EST,-1.3,31.5417,36.7763,76.2,0
MITC,2018-01-06 01:00:00,EST,-2.74,31.9891,34.0695,67.7,0
MITC,2018-01-06 02:00:00,EST,-4.18,29.5284,33.2866,65.1,0
MITC,2018-01-06 03:00:00,EST,-4.18,28.1862,28.1415,68.1,0
MITC,2018-01-06 04:00:00,EST,-3.28,28.8573,33.7563,70.3,0
MITC,2018-01-06 05:00:00,EST,-3.28,30.4232,35.6354,64.6,0
MITC,2018-01-06 06:00:00,EST,-3.28,30.6469,33.6221,57.4,0
MITC,2018-01-06 07:00:00,EST,-3.46,29.9758,33.6221,53.5,0
MITC,2018-01-06 08:00:00,EST,-2.74,30.6469,35.2104,48.4,0
MITC,2018-01-06 09:00:00,EST,-2.56,28.8573,31.139,44.4,0
MITC,2018-01-06 10:00:00,EST,0.5,24.8307,27.4032,38.6,0
MITC,2018-01-06 11:00:00,EST,3.92,23.0411,26.1729,32.6,0
MITC,2018-01-06 12:00:00,EST,6.26,24.1596,27.1348,25.5,0
MITC,2018-01-06 13:00:00,EST,6.08,21.9226,24.6741,26.5,0
MITC,2018-01-06 14:00:00,EST,7.52,21.9226,29.2376,28.6,0
MITC,2018-01-06 15:00:00,EST,9.32,18.7908,25.39,31.2,0
MITC,2018-01-06 16:00:00,EST,8.78,17.896,22.2805,30,0
MITC,2018-01-06 17:00:00,EST,6.62,20.8041,30.3785,29.5,0
MITC,2018-01-06 18:00:00,EST,4.28,22.8174,27.5375,28.9,0
MITC,2018-01-06 19:00:00,EST,3.56,23.4885,27.3585,26.3,0
MITC,2018-01-06 20:00:00,EST,5.36,22.5937,28.0072,21.7,0
MITC,2018-01-06 21:00:00,EST,6.98,21.2515,21.1844,17.4,0
MITC,2018-01-06 22:00:00,EST,8.96,18.1197,19.1711,15,0
MITC,2018-01-06 23:00:00,EST,10.04,13.422,16.4867,12.4,0
MITC,2018-01-07 00:00:00,EST,13.82,14.0931,22.9293,9.8,0
MITC,2018-01-07 01:00:00,EST,14.54,13.8694,16.4867,8.8,0
MITC,2018-01-07 02:00:00,EST,15.44,14.3168,19.9093,8.3,0
MITC,2018-01-07 03:00:00,EST,16.34,16.1064,18.9474,9.3,0
MITC,2018-01-07 04:00:00,EST,19.04,15.2116,15.7395,9.9,0
MITC,2018-01-07 05:00:00,EST,19.22,14.9879,17.0549,10.6,0
MITC,2018-01-07 06:00:00,EST,21.56,15.8827,15.3458,10.3,0
MITC,2018-01-07 07:00:00,EST,22.28,14.0931,16.4867,9.3,0
MITC,2018-01-07 08:00:00,EST,21.74,14.3168,17.5381,8.7,0
MITC,2018-01-07 09:00:00,EST,24.44,13.6457,11.5742,9.3,0
MITC,2018-01-07 10:00:00,EST,26.06,11.185,15.7395,8.4,0
MITC,2018-01-07 11:00:00,EST,28.22,11.6324,11.9702,9,0
MITC,2018-01-07 12:00:00,EST,31.82,9.3954,10.2164,8.8,0
MITC,2018-01-07 13:00:00,EST,31.64,8.0532,11.6637,9.8,0
MITC,2018-01-07 14:00:00,EST,31.82,11.6324,15.1266,15.3,0
MITC,2018-01-07 15:00:00,EST,29.84,11.6324,15.3011,15.3,0
MITC,2018-01-07 16:00:00,EST,30.02,13.422,15.829,26.9,0
MITC,2018-01-07 17:00:00,EST,28.22,13.8694,12.5406,39,0
MITC,2018-01-07 18:00:00,EST,29.48,12.9746,18.075,43.7,0
MITC,2018-01-07 19:00:00,EST,29.48,13.422,12.7151,56.4,0
MITC,2018-01-07 20:00:00,EST,29.84,14.5405,18.5,54.2,0
MITC,2018-01-07 21:00:00,EST,29.66,14.5405,15.3458,54.1,0
MITC,2018-01-07 22:00:00,EST,29.3,15.4353,14.0305,53.1,0
MITC,2018-01-07 23:00:00,EST,31.1,13.422,13.8985,52.3,0
MITC,2018-01-08 00:00:00,EST,30.74,13.1983,14.5137,51.2,0
MITC,2018-01-08 01:00:00,EST,31.64,11.6324,13.46,53,0
MITC,2018-01-08 02:00:00,EST,34.7,11.8561,16.0907,56.8,0
MITC,2018-01-08 03:00:00,EST,32.18,8.7243,18.4105,47.4,0
MITC,2018-01-08 04:00:00,EST,31.46,11.8561,18.9921,48,0
MITC,2018-01-08 05:00:00,EST,30.2,10.9613,26.8664,52.3,0
MITC,2018-01-08 06:00:00,EST,32.18,8.948,19.5066,49,0
MITC,2018-01-08 07:00:00,EST,32.18,8.5006,13.6793,44.4,0
MITC,2018-01-08 08:00:00,EST,32.9,11.6324,19.2382,46.1,0
MITC,2018-01-08 09:00:00,EST,30.38,11.4087,18.1421,52.5,0
MITC,2018-01-08 10:00:00,EST,32.54,16.1064,22.2805,57.6,0
MITC,2018-01-08 11:00:00,EST,34.34,16.5538,18.9026,49.6,0
MITC,2018-01-08 12:00:00,EST,32.36,15.4353,21.0949,53.3,0
MITC,2018-01-08 13:00:00,EST,33.62,13.8694,21.1397,57.2,0
MITC,2018-01-08 14:00:00,EST,31.46,16.1064,24.9873,66.4,0
MITC,2018-01-08 15:00:00,EST,32.54,15.8827,23.0187,81.4,0
MITC,2018-01-08 16:00:00,EST,33.08,18.1197,18.2763,86.2,0.01
MITC,2018-01-08 17:00:00,EST,32.54,15.659,22.1463,90.1,0.01
MITC,2018-01-08 18:00:00,EST,32.9,21.6989,26.844,90.7,0.01
MITC,2018-01-08 19:00:00,EST,33.62,21.0278,31.139,90,0
MITC,2018-01-08 20:00:00,EST,33.8,22.1463,30.3785,91.1,0
MITC,2018-01-08 21:00:00,EST,34.16,21.4752,24.9873,91.6,0
MITC,2018-01-08 22:00:00,EST,35.06,20.8041,20.6922,91.7,0
MITC,2018-01-08 23:00:00,EST,36.32,22.1463,25.6584,92,0
MITC,2018-01-09 00:00:00,EST,36.32,23.4885,25.0768,92.3,0
MITC,2018-01-09 01:00:00,EST,37.22,21.2515,23.4214,92.4,0
MITC,2018-01-09 02:00:00,EST,36.5,17.2249,18.0302,92.2,0
MITC,2018-01-09 03:00:00,EST,36.68,16.3301,20.1777,92.2,0
MITC,2018-01-09 04:00:00,EST,37.22,18.5671,22.3253,92.4,0.01
MITC,2018-01-09 05:00:00,EST,36.68,19.6856,22.795,92.4,0
MITC,2018-01-09 06:00:00,EST,36.86,18.3434,20.558,92.1,0
MITC,2018-01-09 07:00:00,EST,36.32,18.7908,17.3189,92.2,0
MITC,2018-01-09 08:00:00,EST,36.14,17.0012,19.6856,92.1,0
MITC,2018-01-09 09:00:00,EST,36.32,18.3434,21.0949,92.2,0
MITC,2018-01-09 10:00:00,EST,36.86,17.0012,12.9791,92.2,0
MITC,2018-01-09 11:00:00,EST,39.2,10.5139,12.1894,92.4,0
MITC,2018-01-09 12:00:00,EST,44.6,3.8029,0,85.3,0
MITC,2018-01-09 13:00:00,EST,43.34,2.0133,2.7627,78.9,0
MITC,2018-01-09 14:00:00,EST,41.9,1.3422,4.03331,84.8,0
MITC,2018-01-09 15:00:00,EST,42.08,3.3555,5.26142,87.8,0
MITC,2018-01-09 16:00:00,EST,41,3.1318,2.54347,87.3,0
MITC,2018-01-09 17:00:00,EST,38.66,2.6844,9.5587,89.9,0
MITC,2018-01-09 18:00:00,EST,37.76,4.6977,4.55901,91.3,0
MITC,2018-01-09 19:00:00,EST,37.94,2.237,3.15641,91.5,0
MITC,2018-01-09 20:00:00,EST,37.76,2.6844,6.84075,91.5,0
MITC,2018-01-09 21:00:00,EST,37.76,6.4873,6.27031,91.7,0
MITC,2018-01-09 22:00:00,EST,37.58,7.6058,11.7062,91.9,0
MITC,2018-01-09 23:00:00,EST,37.76,8.5006,11.355,92.1,0
MITC,2018-01-10 00:00:00,EST,37.76,10.0665,16.0907,92.3,0
MITC,2018-01-10 01:00:00,EST,37.22,9.8428,5.08694,92.3,0
MITC,2018-01-10 02:00:00,EST,37.4,6.4873,11.2678,92.3,0
MITC,2018-01-10 03:00:00,EST,37.94,7.1584,10.1291,92.4,0
MITC,2018-01-10 04:00:00,EST,37.94,2.9081,1.27062,92.4,0
MITC,2018-01-10 05:00:00,EST,38.3,2.237,7.36644,92.4,0
MITC,2018-01-10 06:00:00,EST,38.84,7.6058,6.13833,91.7,0
MITC,2018-01-10 07:00:00,EST,37.94,4.2503,7.14721,92.2,0.01
MITC,2018-01-10 08:00:00,EST,37.4,7.8295,9.64594,92.3,0
MITC,2018-01-10 09:00:00,EST,37.4,8.5006,9.95241,92.3,0.01
MITC,2018-01-10 10:00:00,EST,38.12,8.0532,11.006,92.5,0.01
MITC,2018-01-10 11:00:00,EST,39.74,5.5925,9.38198,92.6,0
MITC,2018-01-10 12:00:00,EST,39.02,8.7243,14.3817,92.7,0
MITC,2018-01-10 13:00:00,EST,38.48,12.3035,15.4778,92.7,0.01
MITC,2018-01-10 14:00:00,EST,39.02,11.8561,16.3972,92.7,0
MITC,2018-01-10 15:00:00,EST,39.92,10.5139,16.7059,92.9,0
MITC,2018-01-10 16:00:00,EST,40.64,10.0665,15.829,93.1,0.01
MITC,2018-01-10 17:00:00,EST,40.64,8.0532,13.0663,93.2,0
MITC,2018-01-10 18:00:00,EST,41,9.6191,13.5048,93.2,0
MITC,2018-01-10 19:00:00,EST,38.48,11.185,19.5066,93,0
MITC,2018-01-10 20:00:00,EST,37.22,13.422,19.1935,92.6,0.02
MITC,2018-01-10 21:00:00,EST,35.6,15.2116,17.8893,92.2,0.01
MITC,2018-01-10 22:00:00,EST,36.32,13.6457,24.1149,92.1,0.02
MITC,2018-01-10 23:00:00,EST,37.58,12.5272,15.0394,92.4,0
MITC,2018-01-11 00:00:00,EST,40.82,11.8561,14.3817,93.3,0.03
MITC,2018-01-11 01:00:00,EST,39.92,11.4087,15.9163,93.2,0.05
MITC,2018-01-11 02:00:00,EST,40.46,15.2116,18.9026,93.2,0.05
MITC,2018-01-11 03:00:00,EST,40.46,14.3168,18.1868,93.3,0.07
MITC,2018-01-11 04:00:00,EST,41.36,13.422,29.864,93.5,0.05
MITC,2018-01-11 05:00:00,EST,42.08,13.422,22.9293,93.6,0.07
MITC,2018-01-11 06:00:00,EST,41.54,13.8694,17.0996,93.5,0.06
MITC,2018-01-11 07:00:00,EST,42.44,13.8694,19.1264,93.7,0.08
MITC,2018-01-11 08:00:00,EST,43.52,12.5272,14.4242,93.7,0.11
MITC,2018-01-11 09:00:00,EST,43.34,12.3035,23.9359,93.7,0.07
MITC,2018-01-11 10:00:00,EST,43.52,12.7509,18.679,93.7,0.08
MITC,2018-01-11 11:00:00,EST,43.88,10.7376,15.2138,93.7,0.1
MITC,2018-01-11 12:00:00,EST,43.52,12.7509,19.9988,93.7,0.18
MITC,2018-01-11 13:00:00,EST,43.7,11.185,17.4508,93.6,0.19
MITC,2018-01-11 14:00:00,EST,43.34,11.4087,23.4214,93.7,0.12
MITC,2018-01-11 15:00:00,EST,44.6,10.5139,14.9074,93.8,0.23
MITC,2018-01-11 16:00:00,EST,44.78,9.6191,17.4933,93.8,0.33
MITC,2018-01-11 17:00:00,EST,44.78,10.0665,13.7665,93.8,0.29
MITC,2018-01-11 18:00:00,EST,45.86,9.1717,11.5317,93.8,0.25
MITC,2018-01-11 19:00:00,EST,46.58,9.1717,20.0435,93.9,0.19
MITC,2018-01-11 20:00:00,EST,46.94,11.4087,15.7843,93.9,0.23
MITC,2018-01-11 21:00:00,EST,46.94,10.9613,16.9676,93.8,0.27
MITC,2018-01-11 22:00:00,EST,47.48,11.4087,18.075,93.9,0.4
MITC,2018-01-11 23:00:00,EST,47.3,11.6324,20.0883,93.9,0.25
MITC,2018-01-12 00:00:00,EST,47.84,10.2902,15.565,93.9,0.23
MITC,2018-01-12 01:00:00,EST,47.84,8.948,24.1149,93.9,0.17
MITC,2018-01-12 02:00:00,EST,48.56,7.8295,10.7868,93.9,0.1
MITC,2018-01-12 03:00:00,EST,48.74,7.1584,9.90991,93.9,0.16
MITC,2018-01-12 04:00:00,EST,47.48,7.6058,13.328,93.9,0.26
MITC,2018-01-12 05:00:00,EST,45.86,14.7642,25.8597,93.7,0.04
MITC,2018-01-12 06:00:00,EST,46.4,13.6457,12.8471,94,0.02
MITC,2018-01-12 07:00:00,EST,45.5,11.8561,17.6253,93.9,0.06
MITC,2018-01-12 08:00:00,EST,46.04,10.2902,10.7421,94,0.14
MITC,2018-01-12 09:00:00,EST,46.22,9.1717,12.1894,94,0.03
MITC,2018-01-12 10:00:00,EST,45.86,8.2769,6.62152,93.9,0.05
MITC,2018-01-12 11:00:00,EST,46.22,6.9347,11.751,93.9,0.05
MITC,2018-01-12 12:00:00,EST,44.78,9.8428,16.2675,93.8,0.04
MITC,2018-01-12 13:00:00,EST,43.16,10.2902,12.8896,93.7,0.09
MITC,2018-01-12 14:00:00,EST,44.06,8.2769,7.14721,93.9,0.06
MITC,2018-01-12 15:00:00,EST,43.7,5.5925,9.20749,93.9,0.09
MITC,2018-01-12 16:00:00,EST,43.88,6.0399,13.328,93.9,0.15
MITC,2018-01-12 17:00:00,EST,39.02,19.0145,27.9625,93.6,0.17
MITC,2018-01-12 18:00:00,EST,38.3,19.6856,16.6164,93.1,0.06
MITC,2018-01-12 19:00:00,EST,38.3,18.3434,36.7315,91.7,0.01
MITC,2018-01-12 20:00:00,EST,37.94,22.1463,18.8579,92.9,0
MITC,2018-01-12 21:00:00,EST,37.4,17.6723,20.5133,93.1,0.02
MITC,2018-01-12 22:00:00,EST,32.72,14.3168,11.619,92.3,0
MITC,2018-01-12 23:00:00,EST,28.76,12.9746,24.607,91.4,0.01
MITC,2018-01-13 00:00:00,EST,22.46,17.896,19.6856,88.9,0
MITC,2018-01-13 01:00:00,EST,20.66,17.4486,19.5514,88.1,0
MITC,2018-01-13 02:00:00,EST,17.78,18.1197,21.0054,87.2,0
MITC,2018-01-13 03:00:00,EST,15.26,22.1463,27.0453,86.3,0
MITC,2018-01-13 04:00:00,EST,14,25.9492,27.269,85.7,0
MITC,2018-01-13 05:00:00,EST,13.82,18.7908,16.9251,85.5,0
MITC,2018-01-13 06:00:00,EST,13.28,18.5671,21.7884,85.2,0
MITC,2018-01-13 07:00:00,EST,12.02,18.7908,18.4105,84.7,0
MITC,2018-01-13 08:00:00,EST,11.3,20.3567,19.0816,84.4,0
MITC,2018-01-13 09:00:00,EST,10.58,19.9093,25.3005,84,0
MITC,2018-01-13 10:00:00,EST,11.48,18.5671,20.4685,83.9,0
MITC,2018-01-13 11:00:00,EST,12.38,14.5405,15.8715,83.9,0
MITC,2018-01-13 12:00:00,EST,13.28,12.7509,13.5048,84.1,0
MITC,2018-01-13 13:00:00,EST,14.72,11.8561,13.7665,84.4,0
MITC,2018-01-13 14:00:00,EST,14.54,10.9613,13.46,84.1,0
MITC,2018-01-13 15:00:00,EST,14.36,13.6457,17.1444,83.2,0
MITC,2018-01-13 16:00:00,EST,13.46,14.7642,15.697,82.9,0
MITC,2018-01-13 17:00:00,EST,10.76,16.3301,19.5514,82.4,0
MITC,2018-01-13 18:00:00,EST,7.88,18.3434,20.2225,80.6,0
MITC,2018-01-13 19:00:00,EST,7.52,18.7908,18.9921,80.2,0
MITC,2018-01-13 20:00:00,EST,8.06,22.37,25.39,78.6,0
MITC,2018-01-13 21:00:00,EST,9.86,22.8174,23.4214,77.9,0
MITC,2018-01-13 22:00:00,EST,10.22,19.9093,21.1397,73.8,0
MITC,2018-01-13 23:00:00,EST,10.4,16.7775,16.2675,69.6,0
MITC,2018-01-14 00:00:00,EST,11.48,12.7509,9.38198,68.7,0
MITC,2018-01-14 01:00:00,EST,15.26,7.8295,6.13833,65.3,0
MITC,2018-01-14 02:00:00,EST,12.74,8.0532,9.95241,59.1,0
MITC,2018-01-14 03:00:00,EST,14.9,5.8162,6.62152,55.2,0
MITC,2018-01-14 04:00:00,EST,15.98,5.3688,6.18307,57.3,0
MITC,2018-01-14 05:00:00,EST,14,5.5925,9.95241,56.4,0
MITC,2018-01-14 06:00:00,EST,13.1,6.2636,5.61263,54.2,0
MITC,2018-01-14 07:00:00,EST,10.76,6.711,7.97938,48.9,0
MITC,2018-01-14 08:00:00,EST,12.38,7.8295,9.69068,48.7,0
MITC,2018-01-14 09:00:00,EST,11.3,12.0798,14.6009,51.9,0
MITC,2018-01-14 10:00:00,EST,13.64,13.1983,15.1266,50.1,0
MITC,2018-01-14 11:00:00,EST,16.16,13.6457,14.2497,50.7,0
MITC,2018-01-14 12:00:00,EST,16.88,11.6324,17.9855,58.2,0
MITC,2018-01-14 13:00:00,EST,19.04,10.5139,11.7062,52.8,0
MITC,2018-01-14 14:00:00,EST,20.48,6.0399,6.09359,56.7,0
MITC,2018-01-14 15:00:00,EST,20.48,5.1451,1.79855,61.6,0
MITC,2018-01-14 16:00:00,EST,16.34,2.6844,2.67545,63.4,0
MITC,2018-01-14 17:00:00,EST,17.78,2.4607,5.34867,67.6,0
MITC,2018-01-14 18:00:00,EST,16.34,1.7896,2.71796,60.7,0
MITC,2018-01-14 19:00:00,EST,14.36,6.711,8.98827,37.7,0
MITC,2018-01-14 20:00:00,EST,13.82,7.1584,6.13833,23.8,0
MITC,2018-01-14 21:00:00,EST,16.88,2.237,0,28.5,0
MITC,2018-01-14 22:00:00,EST,16.7,2.0133,4.47176,24.6,0
MITC,2018-01-14 23:00:00,EST,16.52,5.5925,5.39341,28.1,0
MITC,2018-01-15 00:00:00,EST,16.52,7.8295,11.9702,34.3,0
MITC,2018-01-15 01:00:00,EST,14.9,10.0665,17.0124,37.3,0
MITC,2018-01-15 02:00:00,EST,15.62,12.5272,20.558,47.2,0
MITC,2018-01-15 03:00:00,EST,16.34,14.7642,19.9093,44.8,0
MITC,2018-01-15 04:00:00,EST,16.88,16.1064,18.7237,46.7,0
MITC,2018-01-15 05:00:00,EST,16.52,17.4486,21.7884,57,0
MITC,2018-01-15 06:00:00,EST,16.16,20.5804,21.5199,63,0
MITC,2018-01-15 07:00:00,EST,15.98,17.896,21.3857,73.1,0
MITC,2018-01-15 08:00:00,EST,17.06,21.2515,25.032,76.6,0
MITC,2018-01-15 09:00:00,EST,16.52,20.8041,22.4147,84.4,0
MITC,2018-01-15 10:00:00,EST,17.6,14.5405,13.856,87.8,0
